date,oblast,alert_hours,year,month,weekday
2022-03-20,Ternopilska oblast,3,2022,3,Sunday
2022-03-20,Vinnytska oblast,6,2022,3,Sunday
2022-03-20,Volynska oblast,3,2022,3,Sunday
2022-03-20,Zakarpatska oblast,0,2022,3,Sunday
2022-03-20,Zaporizka oblast,4,2022,3,Sunday
2022-03-20,Zhytomyrska oblast,14,2022,3,Sunday
2022-03-21,Cherkaska oblast,9,2022,3,Monday
2022-03-21,Chernihivska oblast,13,2022,3,Monday
2022-03-21,Chernivetska oblast,3,2022,3,Monday
2022-03-21,Dnipropetrovska oblast,7,2022,3,Monday
2022-03-21,Donetska oblast,16,2022,3,Monday
2022-03-21,Ivano-Frankivska oblast,8,2022,3,Monday
2022-03-21,Kharkivska oblast,14,2022,3,Monday
2022-03-21,Khersonska oblast,0,2022,3,Monday
2022-03-21,Khmelnytska oblast,11,2022,3,Monday
2022-03-21,Kirovohradska oblast,12,2022,3,Monday
2022-03-21,Kyiv City,19,2022,3,Monday
2022-03-21,Kyivska oblast,17,2022,3,Monday
2022-03-21,Lvivska oblast,9,2022,3,Monday
2022-03-21,Mykolaivska oblast,11,2022,3,Monday
2022-03-21,Odeska oblast,8,2022,3,Monday
2022-03-21,Poltavska oblast,10,2022,3,Monday
2022-03-21,Rivnenska oblast,11,2022,3,Monday
2022-03-21,Sumska oblast,6,2022,3,Monday
2022-03-21,Ternopilska oblast,12,2022,3,Monday
2022-03-21,Vinnytska oblast,10,2022,3,Monday
2022-03-21,Volynska oblast,11,2022,3,Monday
2022-03-21,Zakarpatska oblast,3,2022,3,Monday
2022-03-21,Zaporizka oblast,6,2022,3,Monday
2022-03-21,Zhytomyrska oblast,15,2022,3,Monday
2022-03-22,Cherkaska oblast,14,2022,3,Tuesday
2022-03-22,Chernihivska oblast,12,2022,3,Tuesday
2022-03-22,Chernivetska oblast,11,2022,3,Tuesday
2022-03-22,Dnipropetrovska oblast,13,2022,3,Tuesday
2022-03-22,Donetska oblast,16,2022,3,Tuesday
2022-03-22,Ivano-Frankivska oblast,11,2022,3,Tuesday
2022-03-22,Kharkivska oblast,15,2022,3,Tuesday
2022-03-22,Khersonska oblast,0,2022,3,Tuesday
2022-03-22,Khmelnytska oblast,13,2022,3,Tuesday
2022-03-22,Kirovohradska oblast,11,2022,3,Tuesday
2022-03-22,Kyiv City,19,2022,3,Tuesday
2022-03-22,Kyivska oblast,18,2022,3,Tuesday
2022-03-22,Lvivska oblast,11,2022,3,Tuesday
2022-03-22,Mykolaivska oblast,12,2022,3,Tuesday
2022-03-22,Odeska oblast,12,2022,3,Tuesday
2022-03-22,Poltavska oblast,11,2022,3,Tuesday
2022-03-22,Rivnenska oblast,10,2022,3,Tuesday
2022-03-22,Sumska oblast,10,2022,3,Tuesday
2022-03-22,Ternopilska oblast,11,2022,3,Tuesday
2022-03-22,Vinnytska oblast,15,2022,3,Tuesday
2022-03-22,Volynska oblast,10,2022,3,Tuesday
2022-03-22,Zakarpatska oblast,10,2022,3,Tuesday
2022-03-22,Zaporizka oblast,12,2022,3,Tuesday
2022-03-22,Zhytomyrska oblast,14,2022,3,Tuesday
2022-03-23,Cherkaska oblast,5,2022,3,Wednesday
2022-03-23,Chernihivska oblast,5,2022,3,Wednesday
2022-03-23,Chernivetska oblast,0,2022,3,Wednesday
2022-03-23,Dnipropetrovska oblast,7,2022,3,Wednesday
2022-03-23,Donetska oblast,13,2022,3,Wednesday
2022-03-23,Ivano-Frankivska oblast,0,2022,3,Wednesday
2022-03-23,Kharkivska oblast,12,2022,3,Wednesday
2022-03-23,Khersonska oblast,0,2022,3,Wednesday
2022-03-23,Khmelnytska oblast,0,2022,3,Wednesday
2022-03-23,Kirovohradska oblast,10,2022,3,Wednesday
2022-03-23,Kyiv City,13,2022,3,Wednesday
2022-03-23,Kyivska oblast,13,2022,3,Wednesday
2022-03-23,Lvivska oblast,0,2022,3,Wednesday
2022-03-23,Mykolaivska oblast,7,2022,3,Wednesday
2022-03-23,Odeska oblast,6,2022,3,Wednesday
2022-03-23,Poltavska oblast,8,2022,3,Wednesday
2022-03-23,Rivnenska oblast,0,2022,3,Wednesday
2022-03-23,Sumska oblast,6,2022,3,Wednesday
2022-03-23,Ternopilska oblast,0,2022,3,Wednesday
2022-03-23,Vinnytska oblast,6,2022,3,Wednesday
2022-03-23,Volynska oblast,0,2022,3,Wednesday
2022-03-23,Zakarpatska oblast,0,2022,3,Wednesday
2022-03-23,Zaporizka oblast,8,2022,3,Wednesday
2022-03-23,Zhytomyrska oblast,14,2022,3,Wednesday
2022-03-24,Cherkaska oblast,4,2022,3,Thursday
2022-03-24,Chernihivska oblast,9,2022,3,Thursday
2022-03-24,Chernivetska oblast,0,2022,3,Thursday
2022-03-24,Dnipropetrovska oblast,8,2022,3,Thursday
2022-03-24,Donetska oblast,14,2022,3,Thursday
2022-03-24,Ivano-Frankivska oblast,0,2022,3,Thursday
2022-03-24,Kharkivska oblast,22,2022,3,Thursday
2022-03-24,Khersonska oblast,0,2022,3,Thursday
2022-03-24,Khmelnytska oblast,3,2022,3,Thursday
2022-03-24,Kirovohradska oblast,4,2022,3,Thursday
2022-03-24,Kyiv City,9,2022,3,Thursday
2022-03-24,Kyivska oblast,9,2022,3,Thursday
2022-03-24,Lvivska oblast,0,2022,3,Thursday
2022-03-24,Mykolaivska oblast,11,2022,3,Thursday
2022-03-24,Odeska oblast,3,2022,3,Thursday
2022-03-24,Poltavska oblast,4,2022,3,Thursday
2022-03-24,Rivnenska oblast,2,2022,3,Thursday
2022-03-24,Sumska oblast,4,2022,3,Thursday
2022-03-24,Ternopilska oblast,2,2022,3,Thursday
2022-03-24,Vinnytska oblast,2,2022,3,Thursday
2022-03-24,Volynska oblast,4,2022,3,Thursday
2022-03-24,Zakarpatska oblast,0,2022,3,Thursday
2022-03-24,Zaporizka oblast,13,2022,3,Thursday
2022-03-24,Zhytomyrska oblast,9,2022,3,Thursday
2022-03-25,Cherkaska oblast,10,2022,3,Friday
2022-03-25,Chernihivska oblast,5,2022,3,Friday
2022-03-25,Chernivetska oblast,2,2022,3,Friday
2022-03-25,Dnipropetrovska oblast,9,2022,3,Friday
2022-03-25,Donetska oblast,22,2022,3,Friday
2022-03-25,Ivano-Frankivska oblast,2,2022,3,Friday
2022-03-25,Kharkivska oblast,19,2022,3,Friday
2022-03-25,Khersonska oblast,0,2022,3,Friday
2022-03-25,Khmelnytska oblast,6,2022,3,Friday
2022-03-25,Kirovohradska oblast,5,2022,3,Friday
2022-03-25,Kyiv City,16,2022,3,Friday
2022-03-25,Kyivska oblast,15,2022,3,Friday
2022-03-25,Lvivska oblast,2,2022,3,Friday
2022-03-25,Mykolaivska oblast,12,2022,3,Friday
2022-03-25,Odeska oblast,5,2022,3,Friday
2022-03-25,Poltavska oblast,5,2022,3,Friday
2022-03-25,Rivnenska oblast,2,2022,3,Friday
2022-03-25,Sumska oblast,4,2022,3,Friday
2022-03-25,Ternopilska oblast,4,2022,3,Friday
2022-03-25,Vinnytska oblast,9,2022,3,Friday
2022-03-25,Volynska oblast,3,2022,3,Friday
2022-03-25,Zakarpatska oblast,2,2022,3,Friday
2022-03-25,Zaporizka oblast,8,2022,3,Friday
2022-03-25,Zhytomyrska oblast,17,2022,3,Friday
2022-03-26,Cherkaska oblast,10,2022,3,Saturday
2022-03-26,Chernihivska oblast,6,2022,3,Saturday
2022-03-26,Chernivetska oblast,6,2022,3,Saturday
2022-03-26,Dnipropetrovska oblast,13,2022,3,Saturday
2022-03-26,Donetska oblast,16,2022,3,Saturday
