oblast,month,avg_alert_hours_per_day,days_observed
Sumska oblast,11,11.241666666666667,120
Sumska oblast,12,9.508064516129032,124
Ternopilska oblast,1,1.2338709677419355,124
Ternopilska oblast,2,1.0176991150442478,113
Ternopilska oblast,3,1.6595744680851063,141
Ternopilska oblast,4,1.2733333333333334,150
Ternopilska oblast,5,1.4387096774193548,155
Ternopilska oblast,6,1.3071428571428572,140
Ternopilska oblast,7,1.3709677419354838,124
Ternopilska oblast,8,1.3870967741935485,124
Ternopilska oblast,9,0.8333333333333334,120
Ternopilska oblast,10,1.153225806451613,124
Ternopilska oblast,11,1.2916666666666667,120
Ternopilska oblast,12,1.3225806451612903,124
Vinnytska oblast,1,2.25,124
Vinnytska oblast,2,2.424778761061947,113
Vinnytska oblast,3,2.9574468085106385,141
Vinnytska oblast,4,2.2333333333333334,150
Vinnytska oblast,5,2.9806451612903224,155
Vinnytska oblast,6,2.342857142857143,140
Vinnytska oblast,7,2.274193548387097,124
Vinnytska oblast,8,2.370967741935484,124
Vinnytska oblast,9,2.2916666666666665,120
Vinnytska oblast,10,3.1048387096774195,124
Vinnytska oblast,11,2.375,120
Vinnytska oblast,12,2.814516129032258,124
Volynska oblast,1,1.2661290322580645,124
Volynska oblast,2,1.2566371681415929,113
Volynska oblast,3,1.4397163120567376,141
Volynska oblast,4,1.12,150
Volynska oblast,5,1.3806451612903226,155
Volynska oblast,6,1.3357142857142856,140
Volynska oblast,7,1.3870967741935485,124
Volynska oblast,8,1.3306451612903225,124
Volynska oblast,9,0.7833333333333333,120
Volynska oblast,10,0.9838709677419355,124
Volynska oblast,11,0.9333333333333333,120
Volynska oblast,12,1.2096774193548387,124
Zakarpatska oblast,1,0.9274193548387096,124
Zakarpatska oblast,2,0.9026548672566371,113
Zakarpatska oblast,3,0.9858156028368794,141
Zakarpatska oblast,4,0.9066666666666666,150
Zakarpatska oblast,5,1.167741935483871,155
Zakarpatska oblast,6,1.0928571428571427,140
Zakarpatska oblast,7,1.064516129032258,124
Zakarpatska oblast,8,1.1129032258064515,124
Zakarpatska oblast,9,0.55,120
Zakarpatska oblast,10,0.7903225806451613,124
Zakarpatska oblast,11,1.9,120
Zakarpatska oblast,12,1.0080645161290323,124
Zaporizka oblast,1,11.298387096774194,124
Zaporizka oblast,2,12.752212389380531,113
Zaporizka oblast,3,12.446808510638299,141
Zaporizka oblast,4,11.626666666666667,150
Zaporizka oblast,5,12.23225806451613,155
Zaporizka oblast,6,12.457142857142857,140
Zaporizka oblast,7,11.169354838709678,124
Zaporizka oblast,8,11.153225806451612,124
Zaporizka oblast,9,11.741666666666667,120
Zaporizka oblast,10,10.185483870967742,124
Zaporizka oblast,11,10.083333333333334,120
Zaporizka oblast,12,9.508064516129032,124
Zhytomyrska oblast,1,3.8629032258064515,124
Zhytomyrska oblast,2,3.1415929203539825,113
Zhytomyrska oblast,3,3.7163120567375887,141
Zhytomyrska oblast,4,2.16,150
Zhytomyrska oblast,5,3.52258064516129,155
Zhytomyrska oblast,6,2.835714285714286,140
Zhytomyrska oblast,7,2.588709677419355,124
Zhytomyrska oblast,8,2.3548387096774195,124
Zhytomyrska oblast,9,2.2666666666666666,120
Zhytomyrska oblast,10,2.9596774193548385,124
Zhytomyrska oblast,11,3.0166666666666666,120
Zhytomyrska oblast,12,3.346774193548387,124
